Province,Gender,Age,Income,Value
Northwest Territories,Females,25 to 34 years (4),"Persons with income of $25,000 and over (5)",2250
Northwest Territories,Females,25 to 34 years (4),"Persons with income of $35,000 and over (5)",1880
Northwest Territories,Females,25 to 34 years (4),"Persons with income of $50,000 and over (5)",1450
Northwest Territories,Females,25 to 34 years (4),"Persons with income of $75,000 and over (5)",840
Northwest Territories,Females,25 to 34 years (4),"Persons with income of $100,000 and over (5)",320
Northwest Territories,Females,25 to 34 years (4),"Persons with income of $150,000 and over (5)",30
Northwest Territories,Females,25 to 34 years (4),"Persons with income of $200,000 and over (5)",20
Northwest Territories,Females,25 to 34 years (4),"Persons with income of $250,000 and over (5)",20
Northwest Territories,Females,35 to 44 years (4),Total persons with income (5),2900
Northwest Territories,Females,35 to 44 years (4),"Persons with income under $5,000 (5)",190
Northwest Territories,Females,35 to 44 years (4),"Persons with income of $5,000 and over (5)",2710
Northwest Territories,Females,35 to 44 years (4),"Persons with income of $10,000 and over (5)",2550
Northwest Territories,Females,35 to 44 years (4),"Persons with income of $15,000 and over (5)",2430
Northwest Territories,Females,35 to 44 years (4),"Persons with income of $20,000 and over (5)",2270
Northwest Territories,Females,35 to 44 years (4),"Persons with income of $25,000 and over (5)",2130
Northwest Territories,Females,35 to 44 years (4),"Persons with income of $35,000 and over (5)",1890
Northwest Territories,Females,35 to 44 years (4),"Persons with income of $50,000 and over (5)",1570
Northwest Territories,Females,35 to 44 years (4),"Persons with income of $75,000 and over (5)",1030
Northwest Territories,Females,35 to 44 years (4),"Persons with income of $100,000 and over (5)",510
Northwest Territories,Females,35 to 44 years (4),"Persons with income of $150,000 and over (5)",60
Northwest Territories,Females,35 to 44 years (4),"Persons with income of $200,000 and over (5)",20
Northwest Territories,Females,35 to 44 years (4),"Persons with income of $250,000 and over (5)",20
Northwest Territories,Females,45 to 54 years (4),Total persons with income (5),2850
Northwest Territories,Females,45 to 54 years (4),"Persons with income under $5,000 (5)",190
Northwest Territories,Females,45 to 54 years (4),"Persons with income of $5,000 and over (5)",2660
Northwest Territories,Females,45 to 54 years (4),"Persons with income of $10,000 and over (5)",2530
Northwest Territories,Females,45 to 54 years (4),"Persons with income of $15,000 and over (5)",2380
Northwest Territories,Females,45 to 54 years (4),"Persons with income of $20,000 and over (5)",2280
Northwest Territories,Females,45 to 54 years (4),"Persons with income of $25,000 and over (5)",2170
Northwest Territories,Females,45 to 54 years (4),"Persons with income of $35,000 and over (5)",1940
Northwest Territories,Females,45 to 54 years (4),"Persons with income of $50,000 and over (5)",1670
Northwest Territories,Females,45 to 54 years (4),"Persons with income of $75,000 and over (5)",1150
Northwest Territories,Females,45 to 54 years (4),"Persons with income of $100,000 and over (5)",640
Northwest Territories,Females,45 to 54 years (4),"Persons with income of $150,000 and over (5)",110
Northwest Territories,Females,45 to 54 years (4),"Persons with income of $200,000 and over (5)",40
Northwest Territories,Females,45 to 54 years (4),"Persons with income of $250,000 and over (5)",20
Northwest Territories,Females,55 to 64 years (4),Total persons with income (5),1820
Northwest Territories,Females,55 to 64 years (4),"Persons with income under $5,000 (5)",100
Northwest Territories,Females,55 to 64 years (4),"Persons with income of $5,000 and over (5)",1730
Northwest Territories,Females,55 to 64 years (4),"Persons with income of $10,000 and over (5)",1640
Northwest Territories,Females,55 to 64 years (4),"Persons with income of $15,000 and over (5)",1520
Northwest Territories,Females,55 to 64 years (4),"Persons with income of $20,000 and over (5)",1420
Northwest Territories,Females,55 to 64 years (4),"Persons with income of $25,000 and over (5)",1370
Northwest Territories,Females,55 to 64 years (4),"Persons with income of $35,000 and over (5)",1260
Northwest Territories,Females,55 to 64 years (4),"Persons with income of $50,000 and over (5)",1050
Northwest Territories,Females,55 to 64 years (4),"Persons with income of $75,000 and over (5)",690
Northwest Territories,Females,55 to 64 years (4),"Persons with income of $100,000 and over (5)",400
Northwest Territories,Females,55 to 64 years (4),"Persons with income of $150,000 and over (5)",80
Northwest Territories,Females,55 to 64 years (4),"Persons with income of $200,000 and over (5)",30
Northwest Territories,Females,55 to 64 years (4),"Persons with income of $250,000 and over (5)",20
Northwest Territories,Females,65 years and over,Total persons with income (5),1220
Northwest Territories,Females,65 years and over,"Persons with income under $5,000 (5)",20
Northwest Territories,Females,65 years and over,"Persons with income of $5,000 and over (5)",1210
Northwest Territories,Females,65 years and over,"Persons with income of $10,000 and over (5)",1160
Northwest Territories,Females,65 years and over,"Persons with income of $15,000 and over (5)",1010
Northwest Territories,Females,65 years and over,"Persons with income of $20,000 and over (5)",720
Northwest Territories,Females,65 years and over,"Persons with income of $25,000 and over (5)",520
Northwest Territories,Females,65 years and over,"Persons with income of $35,000 and over (5)",360
Northwest Territories,Females,65 years and over,"Persons with income of $50,000 and over (5)",220
Northwest Territories,Females,65 years and over,"Persons with income of $75,000 and over (5)",110
Northwest Territories,Females,65 years and over,"Persons with income of $100,000 and over (5)",50
Northwest Territories,Females,65 years and over,"Persons with income of $150,000 and over (5)",20
Northwest Territories,Females,65 years and over,"Persons with income of $200,000 and over (5)",20
Northwest Territories,Females,65 years and over,"Persons with income of $250,000 and over (5)",20
Nunavut,Both sexes,"All age groups (4,10)",Total persons with income (5),19310
Nunavut,Both sexes,"All age groups (4,10)","Persons with income under $5,000 (5)",2080
Nunavut,Both sexes,"All age groups (4,10)","Persons with income of $5,000 and over (5)",17230
Nunavut,Both sexes,"All age groups (4,10)","Persons with income of $10,000 and over (5)",15030
Nunavut,Both sexes,"All age groups (4,10)","Persons with income of $15,000 and over (5)",13370
Nunavut,Both sexes,"All age groups (4,10)","Persons with income of $20,000 and over (5)",11860
Nunavut,Both sexes,"All age groups (4,10)","Persons with income of $25,000 and over (5)",10520
Nunavut,Both sexes,"All age groups (4,10)","Persons with income of $35,000 and over (5)",8610
Nunavut,Both sexes,"All age groups (4,10)","Persons with income of $50,000 and over (5)",6750
Nunavut,Both sexes,"All age groups (4,10)","Persons with income of $75,000 and over (5)",4930
Nunavut,Both sexes,"All age groups (4,10)","Persons with income of $100,000 and over (5)",3020
Nunavut,Both sexes,"All age groups (4,10)","Persons with income of $150,000 and over (5)",680
Nunavut,Both sexes,"All age groups (4,10)","Persons with income of $200,000 and over (5)",190
Nunavut,Both sexes,"All age groups (4,10)","Persons with income of $250,000 and over (5)",60
Nunavut,Both sexes,"0 to 24 years (4,10)",Total persons with income (5),4140
Nunavut,Both sexes,"0 to 24 years (4,10)","Persons with income under $5,000 (5)",1020
Nunavut,Both sexes,"0 to 24 years (4,10)","Persons with income of $5,000 and over (5)",3120
Nunavut,Both sexes,"0 to 24 years (4,10)","Persons with income of $10,000 and over (5)",2160
Nunavut,Both sexes,"0 to 24 years (4,10)","Persons with income of $15,000 and over (5)",1590
Nunavut,Both sexes,"0 to 24 years (4,10)","Persons with income of $20,000 and over (5)",1130
Nunavut,Both sexes,"0 to 24 years (4,10)","Persons with income of $25,000 and over (5)",860
Nunavut,Both sexes,"0 to 24 years (4,10)","Persons with income of $35,000 and over (5)",500
Nunavut,Both sexes,"0 to 24 years (4,10)","Persons with income of $50,000 and over (5)",260
Nunavut,Both sexes,"0 to 24 years (4,10)","Persons with income of $75,000 and over (5)",110
Nunavut,Both sexes,"0 to 24 years (4,10)","Persons with income of $100,000 and over (5)",30
Nunavut,Both sexes,"0 to 24 years (4,10)","Persons with income of $150,000 and over (5)",20
Nunavut,Both sexes,"0 to 24 years (4,10)","Persons with income of $200,000 and over (5)",20
Nunavut,Both sexes,"0 to 24 years (4,10)","Persons with income of $250,000 and over (5)",20
Nunavut,Both sexes,25 to 34 years (4),Total persons with income (5),4980
Nunavut,Both sexes,25 to 34 years (4),"Persons with income under $5,000 (5)",400
Nunavut,Both sexes,25 to 34 years (4),"Persons with income of $5,000 and over (5)",4580
Nunavut,Both sexes,25 to 34 years (4),"Persons with income of $10,000 and over (5)",4090
Nunavut,Both sexes,25 to 34 years (4),"Persons with income of $15,000 and over (5)",3650
Nunavut,Both sexes,25 to 34 years (4),"Persons with income of $20,000 and over (5)",3260
Nunavut,Both sexes,25 to 34 years (4),"Persons with income of $25,000 and over (5)",2850
Nunavut,Both sexes,25 to 34 years (4),"Persons with income of $35,000 and over (5)",2280
Nunavut,Both sexes,25 to 34 years (4),"Persons with income of $50,000 and over (5)",1690
Nunavut,Both sexes,25 to 34 years (4),"Persons with income of $75,000 and over (5)",1180
Nunavut,Both sexes,25 to 34 years (4),"Persons with income of $100,000 and over (5)",670
Nunavut,Both sexes,25 to 34 years (4),"Persons with income of $150,000 and over (5)",90
Nunavut,Both sexes,25 to 34 years (4),"Persons with income of $200,000 and over (5)",20
Nunavut,Both sexes,25 to 34 years (4),"Persons with income of $250,000 and over (5)",20
Nunavut,Both sexes,35 to 44 years (4),Total persons with income (5),3970
Nunavut,Both sexes,35 to 44 years (4),"Persons with income under $5,000 (5)",270
Nunavut,Both sexes,35 to 44 years (4),"Persons with income of $5,000 and over (5)",3700
Nunavut,Both sexes,35 to 44 years (4),"Persons with income of $10,000 and over (5)",3370
Nunavut,Both sexes,35 to 44 years (4),"Persons with income of $15,000 and over (5)",3160
Nunavut,Both sexes,35 to 44 years (4),"Persons with income of $20,000 and over (5)",2900
Nunavut,Both sexes,35 to 44 years (4),"Persons with income of $25,000 and over (5)",2670
Nunavut,Both sexes,35 to 44 years (4),"Persons with income of $35,000 and over (5)",2250
Nunavut,Both sexes,35 to 44 years (4),"Persons with income of $50,000 and over (5)",1790
Nunavut,Both sexes,35 to 44 years (4),"Persons with income of $75,000 and over (5)",1310
Nunavut,Both sexes,35 to 44 years (4),"Persons with income of $100,000 and over (5)",800
Nunavut,Both sexes,35 to 44 years (4),"Persons with income of $150,000 and over (5)",170
Nunavut,Both sexes,35 to 44 years (4),"Persons with income of $200,000 and over (5)",30
Nunavut,Both sexes,35 to 44 years (4),"Persons with income of $250,000 and over (5)",20
Nunavut,Both sexes,45 to 54 years (4),Total persons with income (5),3210
Nunavut,Both sexes,45 to 54 years (4),"Persons with income under $5,000 (5)",250
Nunavut,Both sexes,45 to 54 years (4),"Persons with income of $5,000 and over (5)",2960
Nunavut,Both sexes,45 to 54 years (4),"Persons with income of $10,000 and over (5)",2730
Nunavut,Both sexes,45 to 54 years (4),"Persons with income of $15,000 and over (5)",2520
Nunavut,Both sexes,45 to 54 years (4),"Persons with income of $20,000 and over (5)",2370
Nunavut,Both sexes,45 to 54 years (4),"Persons with income of $25,000 and over (5)",2230
Nunavut,Both sexes,45 to 54 years (4),"Persons with income of $35,000 and over (5)",1990
Nunavut,Both sexes,45 to 54 years (4),"Persons with income of $50,000 and over (5)",1690
Nunavut,Both sexes,45 to 54 years (4),"Persons with income of $75,000 and over (5)",1310
